loc,smellsCount,assertionRoulette,conditionalTestLogic,constructorInitialization,defaultTest,duplicateAssert,eagerTest,emptyTest,generalFixture,lazyTest,magicNumberTest,mysteryGuest,printStatement,redundantAssertion,resourceOptimism,sensitiveEquality,sleepyTest,unknownTest,verboseTest,klass
4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
71,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
44,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,5,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
10,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73,7,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1
112,6,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
18,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
23,5,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
15,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
7,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
18,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
14,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
7,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
41,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
10,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
24,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
54,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
27,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
112,5,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
20,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
10,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14,4,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
9,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
43,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
36,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
27,5,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
14,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
34,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
31,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
12,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
76,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
22,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
18,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
30,4,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
279,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
102,6,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
24,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
21,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
85,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
22,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
26,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
10,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
32,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,4,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
58,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,6,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
28,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
14,5,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
16,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
58,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
20,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
9,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
23,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,5,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
11,5,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
12,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
32,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
8,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
16,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
25,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
45,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
26,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
16,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
56,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
85,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
16,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
36,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,5,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
16,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
16,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
26,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
36,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
15,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
12,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
40,6,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
