index,loc,smellsCount,assertionRoulette,conditionalTestLogic,constructorInitialization,defaultTest,duplicateAssert,eagerTest,emptyTest,generalFixture,ignoredTest,lazyTest,magicNumberTest,mysteryGuest,printStatement,redundantAssertion,resourceOptimism,sensitiveEquality,sleepyTest,unknownTest,verboseTest,klass
1802,4,2,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0
944,58,4,1,0,0,0,1,0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,1
450,39,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
601,18,3,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1
797,63,3,0,1,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
781,63,3,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
461,21,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
2121,7,2,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0
984,136,7,1,1,0,0,1,1,0,0,0.0,1,0,0,0,1,0,0,1,0,0,1
2199,35,3,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0
2595,20,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
657,16,2,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
639,21,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1855,8,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
688,63,3,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
228,52,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1
502,15,3,1,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1
1896,4,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0
1526,7,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
274,19,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
1270,279,3,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
611,32,2,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1560,6,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
721,78,5,1,1,0,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1
281,51,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2252,17,4,0,1,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2321,5,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
920,17,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
1676,11,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
995,13,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
353,32,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
813,30,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1907,7,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
172,11,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
2046,7,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1837,4,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0
1216,32,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
1835,8,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
703,14,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
1123,10,4,1,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2867,12,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2787,8,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
285,11,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1317,12,2,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1
1369,36,4,1,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1
96,14,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
2081,13,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0
1953,5,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
2351,4,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0
899,113,6,1,1,0,0,1,1,0,0,0.0,1,0,0,1,0,0,0,0,0,0,1
207,52,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1
1002,11,2,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2195,19,4,1,1,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0
1916,11,3,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0
5,20,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2266,13,5,1,0,0,0,1,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0
2714,11,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
1177,17,2,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1
230,20,3,1,0,0,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1
2062,6,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2116,7,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2012,8,3,1,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0
1644,10,3,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0
1784,5,2,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0
2099,24,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2091,11,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1439,11,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2603,8,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1243,40,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1852,25,2,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
947,9,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
728,15,2,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1
933,14,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
1845,6,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
2088,8,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2746,10,4,1,1,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
895,16,3,1,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
833,97,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
667,14,2,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
666,17,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
1761,10,4,1,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
261,18,4,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,1,0,0,0,1
2459,7,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
2840,20,4,1,1,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1
1827,4,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1022,30,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
493,28,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
339,10,4,1,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
1120,16,3,1,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2543,6,3,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0
1214,17,2,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1
865,32,3,1,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2176,4,2,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0
1575,9,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2043,6,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2896,8,2,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1
2209,24,5,1,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0
1420,16,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1143,36,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1441,13,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
632,38,4,1,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1
2241,10,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1397,12,5,1,0,0,0,0,1,0,0,0.0,1,0,1,0,0,1,0,0,0,0,1
1942,13,4,1,1,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
745,26,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
625,16,2,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,1
300,17,2,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1
1101,36,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1063,14,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1
1671,15,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2045,15,3,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0
328,7,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
2525,14,4,1,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
126,19,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,1
726,8,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1
2261,25,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0
69,13,2,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
928,17,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1
530,32,3,1,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,1
1185,42,3,1,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
1240,58,4,1,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
1251,16,2,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,1
541,19,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2335,5,4,0,0,0,0,0,1,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0
1622,7,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
973,63,3,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
988,16,2,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1
1905,13,2,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
2041,18,4,1,1,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1831,5,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2732,11,4,1,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0
1100,33,3,1,1,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
1632,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1512,13,3,1,0,0,0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0
494,52,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1
1836,39,5,1,0,0,0,1,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0
1366,9,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
619,40,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
1348,21,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2534,6,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0
276,74,4,1,1,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2602,10,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0
33,13,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
2498,25,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
15,15,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
1545,8,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
2414,17,3,0,0,0,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0
1887,6,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1894,9,2,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1552,9,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
34,15,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,1
948,12,4,1,0,1,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1
175,36,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2721,10,3,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0
1082,24,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1501,21,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
680,43,2,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1
2805,55,5,1,0,0,0,1,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1
1091,20,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
73,36,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
446,36,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
1667,9,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
173,38,3,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
2694,22,4,1,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0
2112,67,4,0,1,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
803,33,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
2072,13,2,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
1524,19,3,1,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0
